날짜,측정소명,측정소코드,PM10,PM2.5
2023-03-07 15,강남구,111261,69,33
2023-03-07 16,강남구,111261,72,34
2023-03-07 17,강남구,111261,74,32
2023-03-07 18,강남구,111261,69,29
2023-03-07 19,강남구,111261,69,30
2023-03-07 20,강남구,111261,69,29
2023-03-07 21,강남구,111261,77,33
2023-03-07 22,강남구,111261,79,33
2023-03-07 23,강남구,111261,77,33
2023-03-07 24,강남구,111261,75,34
2023-03-08 01,강남구,111261,79,35
2023-03-08 02,강남구,111261,78,39
2023-03-08 03,강남구,111261,77,38
2023-03-08 04,강남구,111261,62,30
2023-03-08 05,강남구,111261,59,28
2023-03-08 06,강남구,111261,58,29
2023-03-08 07,강남구,111261,60,29
2023-03-08 08,강남구,111261,58,29
2023-03-08 09,강남구,111261,64,35
2023-03-08 10,강남구,111261,68,33
2023-03-08 11,강남구,111261,62,27
2023-03-08 12,강남구,111261,54,19
2023-03-08 13,강남구,111261,57,19
2023-03-08 14,강남구,111261,58,22
2023-03-08 15,강남구,111261,64,23
2023-03-08 16,강남구,111261,58,21
2023-03-08 17,강남구,111261,58,23
2023-03-08 18,강남구,111261,58,21
2023-03-08 19,강남구,111261,59,23
2023-03-08 20,강남구,111261,55,23
2023-03-08 21,강남구,111261,55,21
2023-03-08 22,강남구,111261,45,18
2023-03-08 23,강남구,111261,42,17
2023-03-08 24,강남구,111261,41,17
2023-03-09 01,강남구,111261,58,23
2023-03-09 02,강남구,111261,60,21
2023-03-09 03,강남구,111261,55,21
2023-03-09 04,강남구,111261,39,14
2023-03-09 05,강남구,111261,44,18
2023-03-09 06,강남구,111261,40,18
2023-03-09 07,강남구,111261,35,14
2023-03-09 08,강남구,111261,38,15
2023-03-09 09,강남구,111261,60,21
2023-03-09 10,강남구,111261,62,27
2023-03-09 11,강남구,111261,57,33
2023-03-09 12,강남구,111261,67,43
2023-03-09 13,강남구,111261,75,49
2023-03-09 14,강남구,111261,77,51
2023-03-09 15,강남구,111261,79,52
2023-03-09 16,강남구,111261,78,51
2023-03-09 17,강남구,111261,77,51
2023-03-09 18,강남구,111261,73,52
2023-03-09 19,강남구,111261,71,50
2023-03-09 20,강남구,111261,72,49
2023-03-09 21,강남구,111261,80,54
2023-03-09 22,강남구,111261,78,53
2023-03-09 23,강남구,111261,83,56
2023-03-09 24,강남구,111261,78,52
2023-03-10 01,강남구,111261,77,51
2023-03-10 02,강남구,111261,80,51
2023-03-10 03,강남구,111261,88,56
2023-03-10 04,강남구,111261,88,53
2023-03-10 05,강남구,111261,91,55
2023-03-10 06,강남구,111261,91,54
2023-03-10 07,강남구,111261,88,53
2023-03-10 08,강남구,111261,83,48
2023-03-10 09,강남구,111261,80,46
2023-03-10 10,강남구,111261,82,46
2023-03-10 11,강남구,111261,88,48
2023-03-10 12,강남구,111261,90,43
2023-03-10 13,강남구,111261,93,41
2023-03-10 14,강남구,111261,81,30
2023-03-10 15,강남구,111261,85,32
2023-03-10 16,강남구,111261,85,36
2023-03-10 17,강남구,111261,90,37
2023-03-10 18,강남구,111261,91,38
2023-03-10 19,강남구,111261,98,45
2023-03-10 20,강남구,111261,100,50
2023-03-10 21,강남구,111261,106,55
2023-03-10 22,강남구,111261,103,55
2023-03-10 23,강남구,111261,106,57
2023-03-10 24,강남구,111261,107,59
2023-03-11 01,강남구,111261,110,61
2023-03-11 02,강남구,111261,105,61
2023-03-11 03,강남구,111261,110,62
2023-03-11 04,강남구,111261,102,57
2023-03-11 05,강남구,111261,100,52
2023-03-11 06,강남구,111261,95,51
2023-03-11 07,강남구,111261,95,51
2023-03-11 08,강남구,111261,93,53
2023-03-11 09,강남구,111261,96,55
2023-03-11 10,강남구,111261,101,55
2023-03-11 11,강남구,111261,108,56
2023-03-11 12,강남구,111261,101,38
2023-03-11 13,강남구,111261,91,26
2023-03-11 14,강남구,111261,77,21
2023-03-11 15,강남구,111261,83,23
2023-03-11 16,강남구,111261,82,23
2023-03-11 17,강남구,111261,87,28
2023-03-11 18,강남구,111261,87,31
2023-03-11 19,강남구,111261,85,33
2023-03-11 20,강남구,111261,76,33
2023-03-11 21,강남구,111261,79,38
2023-03-11 22,강남구,111261,78,37
2023-03-11 23,강남구,111261,78,37
2023-03-11 24,강남구,111261,74,34
2023-03-12 01,강남구,111261,78,37
2023-03-12 02,강남구,111261,73,34
2023-03-12 03,강남구,111261,73,36
2023-03-12 04,강남구,111261,76,36
2023-03-12 05,강남구,111261,86,44
2023-03-12 06,강남구,111261,97,51
2023-03-12 07,강남구,111261,105,61
2023-03-12 08,강남구,111261,77,45
2023-03-12 09,강남구,111261,58,30
2023-03-12 10,강남구,111261,21,13
2023-03-12 11,강남구,111261,27,17
2023-03-12 12,강남구,111261,21,11
2023-03-12 13,강남구,111261,19,9
2023-03-12 14,강남구,111261,18,7
2023-03-12 15,강남구,111261,36,11
2023-03-12 16,강남구,111261,53,10
2023-03-12 17,강남구,111261,63,16
2023-03-12 18,강남구,111261,57,11
2023-03-12 19,강남구,111261,48,11
2023-03-12 20,강남구,111261,36,9
2023-03-12 21,강남구,111261,34,9
2023-03-12 22,강남구,111261,32,7
2023-03-12 23,강남구,111261,30,8
2023-03-12 24,강남구,111261,32,9
2023-03-13 01,강남구,111261,34,11
2023-03-13 02,강남구,111261,33,8
2023-03-13 03,강남구,111261,33,8
2023-03-13 04,강남구,111261,28,8
2023-03-13 05,강남구,111261,27,7
2023-03-13 06,강남구,111261,22,7
2023-03-13 07,강남구,111261,23,7
2023-03-13 08,강남구,111261,24,6
2023-03-13 09,강남구,111261,25,7
2023-03-13 10,강남구,111261,24,5
2023-03-13 11,강남구,111261,23,3
2023-03-13 12,강남구,111261,25,6
2023-03-13 13,강남구,111261,29,8
2023-03-13 14,강남구,111261,28,7
2023-03-13 15,강남구,111261,,
2023-03-13 16,강남구,111261,,
2023-03-13 17,강남구,111261,39,7
2023-03-13 18,강남구,111261,41,10
2023-03-13 19,강남구,111261,37,11
2023-03-13 20,강남구,111261,35,9
2023-03-13 21,강남구,111261,35,9
2023-03-13 22,강남구,111261,31,8
2023-03-13 23,강남구,111261,35,11
2023-03-13 24,강남구,111261,31,8
2023-03-14 01,강남구,111261,34,9
2023-03-14 02,강남구,111261,33,10
2023-03-14 03,강남구,111261,35,11
2023-03-14 04,강남구,111261,31,10
2023-03-14 05,강남구,111261,33,10
2023-03-14 06,강남구,111261,32,10
2023-03-14 07,강남구,111261,36,12
2023-03-14 08,강남구,111261,34,10
2023-03-14 09,강남구,111261,39,12
2023-03-14 10,강남구,111261,40,12
2023-03-14 11,강남구,111261,44,10
2023-03-14 12,강남구,111261,48,10
2023-03-14 13,강남구,111261,50,8
2023-03-14 14,강남구,111261,47,8
2023-03-14 15,강남구,111261,47,7
2023-03-14 16,강남구,111261,39,7
2023-03-14 17,강남구,111261,36,7
2023-03-14 18,강남구,111261,33,8
2023-03-14 19,강남구,111261,30,9
2023-03-14 20,강남구,111261,25,8
2023-03-14 21,강남구,111261,25,11
2023-03-14 22,강남구,111261,27,9
2023-03-14 23,강남구,111261,33,12
2023-03-14 24,강남구,111261,30,9
2023-03-15 01,강남구,111261,32,10
2023-03-15 02,강남구,111261,31,8
2023-03-15 03,강남구,111261,33,12
2023-03-15 04,강남구,111261,30,11
2023-03-15 05,강남구,111261,30,12
2023-03-15 06,강남구,111261,27,9
2023-03-15 07,강남구,111261,29,9
2023-03-15 08,강남구,111261,28,8
2023-03-15 09,강남구,111261,26,9
2023-03-15 10,강남구,111261,17,4
2023-03-15 11,강남구,111261,18,4
2023-03-15 12,강남구,111261,23,7
2023-03-15 13,강남구,111261,21,7
2023-03-15 14,강남구,111261,24,7
2023-03-15 15,강남구,111261,34,11
2023-03-15 16,강남구,111261,38,13
2023-03-15 17,강남구,111261,41,14
2023-03-15 18,강남구,111261,42,16
2023-03-15 19,강남구,111261,59,23
2023-03-15 20,강남구,111261,69,21
2023-03-15 21,강남구,111261,92,18
2023-03-15 22,강남구,111261,109,13
2023-03-15 23,강남구,111261,91,17
2023-03-15 24,강남구,111261,95,15
2023-03-16 01,강남구,111261,94,12
2023-03-16 02,강남구,111261,67,9
2023-03-16 03,강남구,111261,66,10
2023-03-16 04,강남구,111261,62,9
2023-03-16 05,강남구,111261,54,10
2023-03-16 06,강남구,111261,43,8
2023-03-16 07,강남구,111261,39,9
2023-03-16 08,강남구,111261,38,8
2023-03-16 09,강남구,111261,43,9
2023-03-16 10,강남구,111261,49,6
2023-03-16 11,강남구,111261,54,4
2023-03-16 12,강남구,111261,54,6
2023-03-16 13,강남구,111261,54,8
2023-03-16 14,강남구,111261,51,9
2023-03-16 15,강남구,111261,56,12
2023-03-16 16,강남구,111261,41,9
2023-03-16 17,강남구,111261,50,12
2023-03-16 18,강남구,111261,52,12
2023-03-16 19,강남구,111261,59,15
2023-03-16 20,강남구,111261,53,13
2023-03-16 21,강남구,111261,47,10
2023-03-16 22,강남구,111261,47,9
2023-03-16 23,강남구,111261,50,11
2023-03-16 24,강남구,111261,47,11
2023-03-17 01,강남구,111261,44,9
2023-03-17 02,강남구,111261,44,10
2023-03-17 03,강남구,111261,47,12
2023-03-17 04,강남구,111261,43,12
2023-03-17 05,강남구,111261,46,14
2023-03-17 06,강남구,111261,43,13
2023-03-17 07,강남구,111261,46,15
2023-03-17 08,강남구,111261,43,13
2023-03-17 09,강남구,111261,46,14
2023-03-17 10,강남구,111261,47,14
2023-03-17 11,강남구,111261,45,12
2023-03-17 12,강남구,111261,40,10
2023-03-17 13,강남구,111261,38,8
2023-03-17 14,강남구,111261,36,10
2023-03-17 15,강남구,111261,37,14
2023-03-17 16,강남구,111261,33,12
