날짜,측정소명,측정소코드,PM10,PM2.5
2023-03-07 03,중구,111121,42,31
2023-03-07 04,중구,111121,44,32
2023-03-07 05,중구,111121,48,32
2023-03-07 06,중구,111121,46,34
2023-03-07 07,중구,111121,49,37
2023-03-07 08,중구,111121,50,33
2023-03-07 09,중구,111121,50,33
2023-03-07 10,중구,111121,51,33
2023-03-07 11,중구,111121,53,35
2023-03-07 12,중구,111121,52,32
2023-03-07 13,중구,111121,59,36
2023-03-07 14,중구,111121,63,36
2023-03-07 15,중구,111121,69,41
2023-03-07 16,중구,111121,68,36
2023-03-07 17,중구,111121,67,35
2023-03-07 18,중구,111121,62,30
2023-03-07 19,중구,111121,69,30
2023-03-07 20,중구,111121,69,33
2023-03-07 21,중구,111121,72,38
2023-03-07 22,중구,111121,71,37
2023-03-07 23,중구,111121,68,35
2023-03-07 24,중구,111121,61,31
2023-03-08 01,중구,111121,69,36
2023-03-08 02,중구,111121,66,37
2023-03-08 03,중구,111121,71,42
2023-03-08 04,중구,111121,77,48
2023-03-08 05,중구,111121,80,51
2023-03-08 06,중구,111121,67,45
2023-03-08 07,중구,111121,65,41
2023-03-08 08,중구,111121,57,36
2023-03-08 09,중구,111121,61,35
2023-03-08 10,중구,111121,59,36
2023-03-08 11,중구,111121,57,30
2023-03-08 12,중구,111121,48,17
2023-03-08 13,중구,111121,58,27
2023-03-08 14,중구,111121,59,31
2023-03-08 15,중구,111121,56,28
2023-03-08 16,중구,111121,54,25
2023-03-08 17,중구,111121,54,25
2023-03-08 18,중구,111121,55,25
2023-03-08 19,중구,111121,58,23
2023-03-08 20,중구,111121,56,29
2023-03-08 21,중구,111121,53,27
2023-03-08 22,중구,111121,43,20
2023-03-08 23,중구,111121,44,20
2023-03-08 24,중구,111121,42,21
2023-03-09 01,중구,111121,61,22
2023-03-09 02,중구,111121,51,23
2023-03-09 03,중구,111121,46,29
2023-03-09 04,중구,111121,42,24
2023-03-09 05,중구,111121,42,23
2023-03-09 06,중구,111121,31,14
2023-03-09 07,중구,111121,28,9
2023-03-09 08,중구,111121,42,17
2023-03-09 09,중구,111121,68,32
2023-03-09 10,중구,111121,56,37
2023-03-09 11,중구,111121,56,40
2023-03-09 12,중구,111121,68,55
2023-03-09 13,중구,111121,76,65
2023-03-09 14,중구,111121,82,72
2023-03-09 15,중구,111121,80,67
2023-03-09 16,중구,111121,71,61
2023-03-09 17,중구,111121,69,62
2023-03-09 18,중구,111121,65,56
2023-03-09 19,중구,111121,69,60
2023-03-09 20,중구,111121,72,62
2023-03-09 21,중구,111121,78,67
2023-03-09 22,중구,111121,81,68
2023-03-09 23,중구,111121,83,70
2023-03-09 24,중구,111121,80,69
2023-03-10 01,중구,111121,81,68
2023-03-10 02,중구,111121,81,67
2023-03-10 03,중구,111121,84,68
2023-03-10 04,중구,111121,84,69
2023-03-10 05,중구,111121,92,76
2023-03-10 06,중구,111121,93,78
2023-03-10 07,중구,111121,97,82
2023-03-10 08,중구,111121,93,75
2023-03-10 09,중구,111121,92,69
2023-03-10 10,중구,111121,89,62
2023-03-10 11,중구,111121,88,54
2023-03-10 12,중구,111121,91,50
2023-03-10 13,중구,111121,91,49
2023-03-10 14,중구,111121,81,39
2023-03-10 15,중구,111121,78,40
2023-03-10 16,중구,111121,73,36
2023-03-10 17,중구,111121,81,47
2023-03-10 18,중구,111121,80,41
2023-03-10 19,중구,111121,89,50
2023-03-10 20,중구,111121,90,53
2023-03-10 21,중구,111121,94,57
2023-03-10 22,중구,111121,95,63
2023-03-10 23,중구,111121,102,70
2023-03-10 24,중구,111121,106,74
2023-03-11 01,중구,111121,109,83
2023-03-11 02,중구,111121,108,79
2023-03-11 03,중구,111121,106,82
2023-03-11 04,중구,111121,104,81
2023-03-11 05,중구,111121,109,84
2023-03-11 06,중구,111121,108,84
2023-03-11 07,중구,111121,107,84
2023-03-11 08,중구,111121,104,82
2023-03-11 09,중구,111121,108,83
2023-03-11 10,중구,111121,111,80
2023-03-11 11,중구,111121,110,68
2023-03-11 12,중구,111121,89,36
2023-03-11 13,중구,111121,84,25
2023-03-11 14,중구,111121,79,26
2023-03-11 15,중구,111121,75,25
2023-03-11 16,중구,111121,68,21
2023-03-11 17,중구,111121,74,30
2023-03-11 18,중구,111121,80,36
2023-03-11 19,중구,111121,80,36
2023-03-11 20,중구,111121,72,35
2023-03-11 21,중구,111121,74,41
2023-03-11 22,중구,111121,73,43
2023-03-11 23,중구,111121,74,45
2023-03-11 24,중구,111121,73,41
2023-03-12 01,중구,111121,75,40
2023-03-12 02,중구,111121,72,42
2023-03-12 03,중구,111121,73,43
2023-03-12 04,중구,111121,72,44
2023-03-12 05,중구,111121,89,59
2023-03-12 06,중구,111121,95,66
2023-03-12 07,중구,111121,92,66
2023-03-12 08,중구,111121,66,49
2023-03-12 09,중구,111121,43,29
2023-03-12 10,중구,111121,26,19
2023-03-12 11,중구,111121,23,15
2023-03-12 12,중구,111121,15,12
2023-03-12 13,중구,111121,17,8
2023-03-12 14,중구,111121,16,6
2023-03-12 15,중구,111121,35,10
2023-03-12 16,중구,111121,49,11
2023-03-12 17,중구,111121,57,16
2023-03-12 18,중구,111121,52,11
2023-03-12 19,중구,111121,45,14
2023-03-12 20,중구,111121,33,8
2023-03-12 21,중구,111121,32,5
2023-03-12 22,중구,111121,29,8
2023-03-12 23,중구,111121,32,10
2023-03-12 24,중구,111121,32,10
2023-03-13 01,중구,111121,37,11
2023-03-13 02,중구,111121,36,9
2023-03-13 03,중구,111121,30,11
2023-03-13 04,중구,111121,27,9
2023-03-13 05,중구,111121,25,9
2023-03-13 06,중구,111121,22,8
2023-03-13 07,중구,111121,24,8
2023-03-13 08,중구,111121,24,7
2023-03-13 09,중구,111121,25,9
2023-03-13 10,중구,111121,21,4
2023-03-13 11,중구,111121,20,4
2023-03-13 12,중구,111121,22,6
2023-03-13 13,중구,111121,24,4
2023-03-13 14,중구,111121,23,8
2023-03-13 15,중구,111121,33,14
2023-03-13 16,중구,111121,29,7
2023-03-13 17,중구,111121,28,7
2023-03-13 18,중구,111121,32,8
2023-03-13 19,중구,111121,38,9
2023-03-13 20,중구,111121,33,8
2023-03-13 21,중구,111121,31,11
2023-03-13 22,중구,111121,29,8
2023-03-13 23,중구,111121,32,8
2023-03-13 24,중구,111121,31,7
2023-03-14 01,중구,111121,34,9
2023-03-14 02,중구,111121,33,9
2023-03-14 03,중구,111121,35,12
2023-03-14 04,중구,111121,32,10
2023-03-14 05,중구,111121,32,13
2023-03-14 06,중구,111121,31,10
2023-03-14 07,중구,111121,36,11
2023-03-14 08,중구,111121,36,11
2023-03-14 09,중구,111121,42,13
2023-03-14 10,중구,111121,42,10
2023-03-14 11,중구,111121,47,11
2023-03-14 12,중구,111121,50,13
2023-03-14 13,중구,111121,52,8
2023-03-14 14,중구,111121,52,12
2023-03-14 15,중구,111121,46,12
2023-03-14 16,중구,111121,34,8
2023-03-14 17,중구,111121,36,8
2023-03-14 18,중구,111121,30,7
2023-03-14 19,중구,111121,33,14
2023-03-14 20,중구,111121,23,9
2023-03-14 21,중구,111121,22,8
2023-03-14 22,중구,111121,24,7
2023-03-14 23,중구,111121,27,9
2023-03-14 24,중구,111121,26,8
2023-03-15 01,중구,111121,26,9
2023-03-15 02,중구,111121,25,9
2023-03-15 03,중구,111121,24,10
2023-03-15 04,중구,111121,25,9
2023-03-15 05,중구,111121,29,10
2023-03-15 06,중구,111121,24,8
2023-03-15 07,중구,111121,25,10
2023-03-15 08,중구,111121,21,6
2023-03-15 09,중구,111121,20,4
2023-03-15 10,중구,111121,19,5
2023-03-15 11,중구,111121,20,8
2023-03-15 12,중구,111121,20,7
2023-03-15 13,중구,111121,19,6
2023-03-15 14,중구,111121,23,10
2023-03-15 15,중구,111121,30,13
2023-03-15 16,중구,111121,39,16
2023-03-15 17,중구,111121,34,15
2023-03-15 18,중구,111121,46,21
2023-03-15 19,중구,111121,52,24
2023-03-15 20,중구,111121,67,18
2023-03-15 21,중구,111121,112,14
2023-03-15 22,중구,111121,115,12
2023-03-15 23,중구,111121,97,10
2023-03-15 24,중구,111121,103,13
2023-03-16 01,중구,111121,89,14
2023-03-16 02,중구,111121,68,10
2023-03-16 03,중구,111121,72,12
2023-03-16 04,중구,111121,65,10
2023-03-16 05,중구,111121,57,10
2023-03-16 06,중구,111121,49,9
2023-03-16 07,중구,111121,45,11
2023-03-16 08,중구,111121,40,9
2023-03-16 09,중구,111121,44,9
2023-03-16 10,중구,111121,50,5
2023-03-16 11,중구,111121,56,4
2023-03-16 12,중구,111121,53,7
2023-03-16 13,중구,111121,44,5
2023-03-16 14,중구,111121,55,15
2023-03-16 15,중구,111121,50,12
2023-03-16 16,중구,111121,46,11
2023-03-16 17,중구,111121,47,10
2023-03-16 18,중구,111121,46,12
2023-03-16 19,중구,111121,48,16
2023-03-16 20,중구,111121,47,12
2023-03-16 21,중구,111121,49,13
2023-03-16 22,중구,111121,47,10
2023-03-16 23,중구,111121,45,10
2023-03-16 24,중구,111121,41,10
2023-03-17 01,중구,111121,39,12
2023-03-17 02,중구,111121,37,11
2023-03-17 03,중구,111121,40,13
2023-03-17 04,중구,111121,38,13
2023-03-17 05,중구,111121,39,16
2023-03-17 06,중구,111121,36,14
2023-03-17 07,중구,111121,41,16
2023-03-17 08,중구,111121,40,14
2023-03-17 09,중구,111121,49,18
2023-03-17 10,중구,111121,43,15
2023-03-17 11,중구,111121,40,12
2023-03-17 12,중구,111121,41,13
2023-03-17 13,중구,111121,36,13
2023-03-17 14,중구,111121,32,13
2023-03-17 15,중구,111121,30,12
2023-03-17 16,중구,111121,27,11
2023-03-17 17,중구,111121,29,12
2023-03-17 18,중구,111121,33,14
2023-03-17 19,중구,111121,29,11
2023-03-17 20,중구,111121,30,16
2023-03-17 21,중구,111121,32,18
2023-03-17 22,중구,111121,34,18
2023-03-17 23,중구,111121,40,23
2023-03-17 24,중구,111121,43,25
2023-03-18 01,중구,111121,46,29
2023-03-18 02,중구,111121,45,29
2023-03-18 03,중구,111121,52,31
2023-03-18 04,중구,111121,49,31
2023-03-18 05,중구,111121,52,32
2023-03-18 06,중구,111121,49,30
2023-03-18 07,중구,111121,50,31
2023-03-18 08,중구,111121,48,27
2023-03-18 09,중구,111121,50,26
2023-03-18 10,중구,111121,41,21
2023-03-18 11,중구,111121,39,21
2023-03-18 12,중구,111121,42,23
2023-03-18 13,중구,111121,40,22
2023-03-18 14,중구,111121,41,22
2023-03-18 15,중구,111121,38,17
2023-03-18 16,중구,111121,42,18
2023-03-18 17,중구,111121,64,27
2023-03-18 18,중구,111121,62,25
2023-03-18 19,중구,111121,60,26
2023-03-18 20,중구,111121,57,29
2023-03-18 21,중구,111121,69,38
2023-03-18 22,중구,111121,72,42
2023-03-18 23,중구,111121,79,46
2023-03-18 24,중구,111121,83,50
2023-03-19 01,중구,111121,87,55
2023-03-19 02,중구,111121,83,56
2023-03-19 03,중구,111121,89,59
2023-03-19 04,중구,111121,90,62
2023-03-19 05,중구,111121,93,64
2023-03-19 06,중구,111121,85,63
2023-03-19 07,중구,111121,80,56
2023-03-19 08,중구,111121,71,47
2023-03-19 09,중구,111121,80,54
2023-03-19 10,중구,111121,91,66
2023-03-19 11,중구,111121,86,56
2023-03-19 12,중구,111121,80,51
2023-03-19 13,중구,111121,81,54
2023-03-19 14,중구,111121,84,57
2023-03-19 15,중구,111121,84,55
2023-03-19 16,중구,111121,71,48
2023-03-19 17,중구,111121,73,52
2023-03-19 18,중구,111121,69,49
2023-03-19 19,중구,111121,86,66
2023-03-19 20,중구,111121,106,81
2023-03-19 21,중구,111121,130,102
2023-03-19 22,중구,111121,127,99
2023-03-19 23,중구,111121,139,112
2023-03-19 24,중구,111121,129,110
2023-03-20 01,중구,111121,128,111
2023-03-20 02,중구,111121,134,114
2023-03-20 03,중구,111121,120,103
2023-03-20 04,중구,111121,110,94
2023-03-20 05,중구,111121,119,106
2023-03-20 06,중구,111121,117,101
2023-03-20 07,중구,111121,116,101
2023-03-20 08,중구,111121,103,91
2023-03-20 09,중구,111121,105,96
2023-03-20 10,중구,111121,106,96
2023-03-20 11,중구,111121,106,88
2023-03-20 12,중구,111121,89,68
2023-03-20 13,중구,111121,66,42
2023-03-20 14,중구,111121,54,35
2023-03-20 15,중구,111121,54,40
2023-03-20 16,중구,111121,74,57
2023-03-20 17,중구,111121,75,58
2023-03-20 18,중구,111121,55,41
2023-03-20 19,중구,111121,46,30
2023-03-20 20,중구,111121,46,26
2023-03-20 21,중구,111121,49,28
2023-03-20 22,중구,111121,47,28
2023-03-20 23,중구,111121,46,31
2023-03-20 24,중구,111121,45,27
2023-03-21 01,중구,111121,48,30
2023-03-21 02,중구,111121,49,30
2023-03-21 03,중구,111121,46,29
2023-03-21 04,중구,111121,46,31
2023-03-21 05,중구,111121,44,29
2023-03-21 06,중구,111121,39,28
2023-03-21 07,중구,111121,44,31
2023-03-21 08,중구,111121,45,30
2023-03-21 09,중구,111121,57,34
2023-03-21 10,중구,111121,57,38
2023-03-21 11,중구,111121,57,38
2023-03-21 12,중구,111121,55,36
2023-03-21 13,중구,111121,59,43
2023-03-21 14,중구,111121,50,37
2023-03-21 15,중구,111121,36,26
2023-03-21 16,중구,111121,33,22
2023-03-21 17,중구,111121,43,29
2023-03-21 18,중구,111121,56,37
2023-03-21 19,중구,111121,81,54
2023-03-21 20,중구,111121,65,43
2023-03-21 21,중구,111121,57,39
2023-03-21 22,중구,111121,55,37
2023-03-21 23,중구,111121,61,39
2023-03-21 24,중구,111121,58,39
2023-03-22 01,중구,111121,60,41
2023-03-22 02,중구,111121,58,39
2023-03-22 03,중구,111121,60,39
2023-03-22 04,중구,111121,54,39
2023-03-22 05,중구,111121,57,43
2023-03-22 06,중구,111121,55,41
2023-03-22 07,중구,111121,60,46
2023-03-22 08,중구,111121,61,39
2023-03-22 09,중구,111121,68,42
2023-03-22 10,중구,111121,70,42
2023-03-22 11,중구,111121,67,38
2023-03-22 12,중구,111121,70,43
2023-03-22 13,중구,111121,77,49
2023-03-22 14,중구,111121,56,31
2023-03-22 15,중구,111121,56,26
2023-03-22 16,중구,111121,43,23
2023-03-22 17,중구,111121,37,23
2023-03-22 18,중구,111121,59,35
2023-03-22 19,중구,111121,50,27
2023-03-22 20,중구,111121,31,14
2023-03-22 21,중구,111121,34,17
2023-03-22 22,중구,111121,42,21
2023-03-22 23,중구,111121,51,24
2023-03-22 24,중구,111121,51,25
2023-03-23 01,중구,111121,46,23
2023-03-23 02,중구,111121,40,22
2023-03-23 03,중구,111121,43,25
2023-03-23 04,중구,111121,42,23
2023-03-23 05,중구,111121,44,23
2023-03-23 06,중구,111121,40,23
2023-03-23 07,중구,111121,38,24
2023-03-23 08,중구,111121,34,20
2023-03-23 09,중구,111121,33,21
2023-03-23 10,중구,111121,31,17
2023-03-23 11,중구,111121,31,17
2023-03-23 12,중구,111121,28,15
2023-03-23 13,중구,111121,34,19
2023-03-23 14,중구,111121,41,23
2023-03-23 15,중구,111121,43,24
2023-03-23 16,중구,111121,38,18
2023-03-23 17,중구,111121,93,29
2023-03-23 18,중구,111121,178,41
2023-03-23 19,중구,111121,225,44
2023-03-23 20,중구,111121,285,42
2023-03-23 21,중구,111121,289,41
2023-03-23 22,중구,111121,240,33
2023-03-23 23,중구,111121,225,31
2023-03-23 24,중구,111121,194,25
